File Name,Assert Count,Assert Location,Debug Count,Debug Location
lib\Transforms\InstCombine\InstCombineAndOrXor.cpp,19,"[28, 68, 167, 558, 577, 614, 931, 987, 1288, 1416, 1461, 1603, 1629, 1980, 2380, 2419, 2436, 2739, 2799]",1,[3144]
lib\Transforms\Utils\IntegerDivision.cpp,19,"[376, 382, 383, 418, 434, 440, 441, 486, 491, 495, 535, 540, 544, 584, 589, 593, 632, 637, 641]",0,[0]
tools\llvm-objcopy\MachO\MachOWriter.cpp,19,"[54, 59, 64, 70, 76, 177, 190, 207, 208, 235, 236, 311, 323, 335, 347, 359, 373, 386, 398]",0,[0]
utils\TableGen\FixedLenDecoderEmitter.cpp,19,"[299, 306, 307, 466, 556, 584, 614, 653, 682, 713, 721, 764, 855, 1100, 1477, 1486, 1589, 1705, 2493]",2,"[1929, 2103]"
include\llvm\IR\CallSite.h,18,"[105, 131, 132, 164, 175, 194, 199, 200, 213, 214, 237, 238, 254, 258, 804, 852, 853, 861]",0,[0]
include\llvm\IR\Value.h,18,"[141, 153, 303, 304, 339, 344, 360, 364, 376, 380, 385, 397, 401, 407, 411, 421, 425, 789]",0,[0]
lib\Analysis\BasicAliasAnalysis.cpp,18,"[281, 297, 436, 655, 842, 872, 1088, 1131, 1327, 1374, 1420, 1611, 1631, 1847, 1864, 1880, 1892, 1901]",0,[0]
lib\CodeGen\AtomicExpandPass.cpp,18,"[160, 169, 223, 288, 298, 329, 335, 365, 652, 744, 779, 1287, 1397, 1419, 1477, 1491, 1507, 1613]",3,"[388, 475, 1075]"
lib\CodeGen\InlineSpiller.cpp,18,"[376, 390, 407, 426, 429, 462, 463, 515, 702, 813, 859, 925, 1075, 1097, 1112, 1123, 1125, 1302]",34,"[343, 394, 416, 435, 444, 472, 556, 562, 576, 584, 601, 615, 618, 629, 677, 686, 709, 732, 890, 914, 945, 954, 963, 1010, 1053, 1079, 1087, 1119, 1306, 1309, 1310, 1419, 1475, 1490]"
lib\CodeGen\ModuloSchedule.cpp,18,"[110, 258, 853, 1158, 1223, 1305, 1363, 1365, 1382, 1399, 1400, 1410, 1634, 1703, 1747, 1764, 1840, 1876]",9,"[162, 228, 310, 812, 1413, 1779, 1783, 1794, 1820]"
lib\CodeGen\GlobalISel\CombinerHelper.cpp,18,"[104, 118, 138, 187, 372, 417, 534, 562, 629, 839, 855, 915, 927, 993, 1041, 1149, 1250, 1252]",15,"[419, 571, 580, 590, 608, 614, 641, 645, 651, 658, 665, 675, 731, 1095, 1202]"
lib\IR\ConstantRange.cpp,18,"[51, 53, 145, 177, 230, 232, 330, 340, 416, 449, 555, 610, 673, 690, 705, 778, 1481, 1482]",0,[0]
lib\IR\DataLayout.cpp,18,"[47, 83, 85, 86, 104, 128, 199, 491, 640, 649, 658, 672, 682, 688, 705, 775, 797, 816]",0,[0]
lib\MC\MCDwarf.cpp,18,"[286, 296, 342, 355, 439, 567, 737, 906, 907, 994, 998, 999, 1022, 1111, 1112, 1183, 1619, 1941]",0,[0]
lib\TableGen\Record.cpp,18,"[70, 183, 185, 441, 580, 638, 728, 766, 773, 869, 1438, 1750, 1772, 1886, 1890, 1989, 2000, 2136]",0,[0]
lib\Target\AMDGPU\R600ISelLowering.cpp,18,"[303, 339, 491, 909, 1142, 1144, 1148, 1151, 1277, 1282, 1283, 1390, 1504, 1521, 1690, 1739, 1807, 2199]",0,[0]
lib\Target\ARM\ARMExpandPseudoInsts.cpp,18,"[98, 420, 459, 475, 536, 586, 617, 662, 680, 843, 851, 939, 1058, 1165, 1187, 1344, 1362, 1364]",54,"[472, 479, 575, 583, 590, 651, 659, 667, 750, 752, 780, 838, 846, 847, 878, 879, 920, 921, 934, 1053, 1168, 1219, 1232, 1244, 1257, 1273, 1285, 1299, 1322, 1348, 1351, 1354, 1369, 1384, 1397, 1420, 1427, 1433, 1453, 1458, 1505, 1513, 1543, 1548, 1553, 1576, 1589, 1620, 1932, 1937, 1940, 1947, 1976, 1985]"
lib\Target\Mips\MipsSEISelLowering.cpp,18,"[254, 699, 1266, 1323, 1355, 2520, 2637, 2669, 2715, 2762, 2809, 2857, 2900, 3215, 3280, 3475, 3656, 3761]",16,"[1056, 3039, 3108, 3173, 3222, 3248, 3284, 3330, 3444, 3479, 3513, 3568, 3662, 3767, 3824, 3853]"
lib\Target\WebAssembly\WebAssemblyISelLowering.cpp,18,"[318, 323, 672, 748, 773, 816, 817, 864, 875, 876, 877, 946, 1094, 1140, 1162, 1260, 1277, 1517]",2,"[427, 621]"
lib\Target\X86\X86FlagsCopyLowering.cpp,18,"[242, 244, 246, 251, 252, 254, 266, 300, 313, 368, 437, 546, 602, 727, 897, 924, 925, 1027]",18,"[338, 386, 410, 412, 486, 568, 661, 705, 747, 772, 819, 824, 845, 852, 868, 874, 913, 1036]"
lib\Transforms\Scalar\GuardWidening.cpp,18,"[96, 111, 315, 346, 349, 353, 381, 398, 403, 422, 423, 511, 513, 524, 594, 662, 706, 782]",3,"[407, 418, 425]"
lib\Transforms\Utils\InlineFunction.cpp,18,"[238, 283, 394, 423, 464, 476, 490, 501, 504, 566, 687, 1363, 1365, 1542, 2151, 2295, 2327, 2389]",6,"[1390, 1419, 1912, 2235, 2338, 2368]"
lib\Transforms\Utils\PredicateInfo.cpp,18,"[59, 68, 77, 141, 181, 183, 185, 198, 215, 217, 379, 447, 567, 714, 728, 737, 738, 762]",5,"[604, 673, 675, 680, 711]"
include\llvm\ADT\TinyPtrVector.h,17,"[219, 221, 225, 231, 238, 248, 283, 284, 299, 300, 301, 313, 314, 319, 322, 333, 334]",0,[0]
include\llvm\Analysis\RegionInfoImpl.h,17,"[63, 157, 347, 360, 376, 394, 395, 407, 437, 443, 552, 579, 622, 651, 665, 687, 878]",1,[677]
include\llvm\CodeGen\SlotIndexes.h,17,"[69, 116, 118, 145, 374, 397, 400, 427, 444, 527, 539, 541, 544, 546, 597, 627, 632]",0,[0]
include\llvm\Support\ARMWinEH.h,17,"[117, 123, 129, 135, 138, 142, 148, 154, 160, 166, 169, 171, 176, 381, 404, 418, 423]",0,[0]
lib\Analysis\ConstantFolding.cpp,17,"[96, 380, 477, 803, 851, 999, 1112, 1291, 1299, 1309, 1628, 1690, 1981, 2029, 2205, 2282, 2318]",0,[0]
lib\CodeGen\VirtRegMap.cpp,17,"[84, 85, 88, 120, 121, 128, 129, 131, 268, 269, 323, 361, 364, 519, 521, 549, 564]",7,"[243, 245, 377, 388, 395, 501, 584]"
lib\CodeGen\WinEHPrepare.cpp,17,"[145, 182, 188, 210, 239, 242, 341, 344, 349, 357, 572, 775, 833, 834, 906, 1029, 1242]",11,"[282, 283, 285, 297, 363, 399, 1051, 1054, 1058, 1060, 1061]"
lib\CodeGen\AsmPrinter\DbgEntityHistoryCalculator.cpp,17,"[42, 43, 58, 87, 88, 93, 115, 118, 128, 130, 146, 173, 243, 248, 254, 256, 326]",5,"[63, 248, 250, 256, 261]"
lib\ExecutionEngine\JITLink\MachO_arm64.cpp,17,"[129, 132, 133, 370, 438, 439, 549, 561, 582, 592, 601, 616, 619, 623, 630, 631, 633]",3,"[222, 271, 378]"
lib\IR\Type.cpp,17,"[141, 147, 245, 246, 285, 291, 374, 469, 475, 505, 540, 549, 588, 615, 616, 638, 639]",0,[0]
lib\Object\XCOFFObjectFile.cpp,17,"[79, 88, 96, 97, 106, 111, 117, 123, 185, 334, 341, 417, 539, 543, 550, 708, 710]",0,[0]
lib\Target\Hexagon\MCTargetDesc\HexagonMCCodeEmitter.cpp,17,"[345, 346, 352, 353, 358, 372, 409, 414, 433, 481, 605, 613, 653, 729, 744, 767, 782]",4,"[373, 416, 425, 631]"
lib\Target\Sparc\AsmParser\SparcAsmParser.cpp,17,"[281, 286, 291, 296, 301, 306, 334, 339, 355, 359, 364, 373, 408, 427, 461, 510, 511]",0,[0]
lib\Transforms\Scalar\LoopSimplifyCFG.cpp,17,"[85, 87, 258, 306, 308, 374, 380, 407, 444, 457, 477, 479, 500, 530, 602, 605, 608]",10,"[459, 481, 538, 542, 548, 556, 567, 577, 579, 587]"
lib\Transforms\Scalar\LoopUnrollPass.cpp,17,"[340, 385, 386, 387, 412, 454, 463, 464, 485, 532, 693, 697, 724, 808, 912, 1393, 1394]",18,"[430, 432, 467, 474, 542, 554, 610, 632, 854, 908, 950, 972, 1004, 1022, 1029, 1061, 1063, 1074]"
lib\Transforms\Scalar\PlaceSafepoints.cpp,17,"[212, 276, 316, 404, 430, 556, 625, 632, 633, 636, 648, 653, 657, 668, 672, 678, 688]",3,"[323, 332, 350]"
lib\Transforms\Utils\ValueMapper.cpp,17,"[420, 486, 523, 527, 669, 737, 738, 860, 872, 997, 998, 1013, 1014, 1029, 1030, 1041, 1042]",0,[0]
lib\CodeGen\BranchFolding.cpp,16,"[154, 436, 648, 650, 856, 867, 898, 912, 916, 1305, 1315, 1402, 1404, 1498, 1677, 1681]",13,"[155, 658, 815, 825, 906, 920, 965, 1057, 1062, 1069, 1339, 1478, 1565]"
lib\CodeGen\LiveDebugValues.cpp,16,"[86, 227, 228, 242, 261, 271, 442, 656, 660, 680, 699, 763, 789, 1111, 1204, 1408]",28,"[153, 224, 282, 678, 769, 782, 797, 933, 967, 968, 974, 975, 982, 987, 1044, 1143, 1158, 1174, 1192, 1254, 1300, 1342, 1350, 1371, 1391, 1393, 1424, 1425]"
lib\CodeGen\LiveRangeCalc.cpp,16,"[75, 134, 148, 192, 222, 232, 243, 244, 245, 248, 270, 271, 435, 483, 484, 550]",0,[0]
lib\CodeGen\MachineFunction.cpp,16,"[199, 305, 321, 371, 395, 596, 612, 613, 694, 840, 860, 918, 927, 939, 1074, 1094]",0,[0]
lib\CodeGen\TargetLoweringBase.cpp,16,"[92, 799, 807, 830, 834, 850, 855, 1057, 1075, 1078, 1102, 1117, 1179, 1378, 1841, 1954]",3,"[1046, 1105, 1120]"
lib\CodeGen\GlobalISel\LegalizerInfo.cpp,16,"[193, 195, 285, 351, 380, 385, 403, 413, 428, 436, 449, 450, 564, 570, 620, 649]",17,"[181, 184, 189, 191, 198, 200, 207, 213, 219, 230, 236, 241, 410, 465, 469, 471, 708]"
lib\DebugInfo\CodeView\ContinuationRecordBuilder.cpp,16,"[52, 58, 59, 79, 96, 114, 117, 118, 128, 129, 140, 141, 146, 151, 165, 166]",0,[0]
lib\Target\ARM\ARMBaseRegisterInfo.cpp,16,"[112, 144, 215, 548, 662, 667, 673, 676, 686, 756, 769, 772, 778, 785, 794, 824]",5,"[637, 821, 825, 872, 874]"
lib\Target\Hexagon\HexagonHardwareLoops.cpp,16,"[147, 344, 349, 354, 569, 626, 638, 809, 829, 1127, 1322, 1355, 1584, 1939, 1971, 1983]",12,"[378, 833, 1013, 1020, 1086, 1240, 1243, 1279, 1369, 1591, 1770, 1778]"
lib\Target\Hexagon\HexagonSplitDouble.cpp,16,"[403, 503, 647, 678, 704, 710, 732, 737, 761, 766, 784, 786, 790, 909, 911, 915]",19,"[248, 271, 277, 470, 565, 597, 636, 708, 735, 764, 801, 921, 998, 1102, 1132, 1150, 1192, 1207, 1225]"
lib\Target\XCore\XCoreFrameLowering.cpp,16,"[103, 126, 164, 196, 225, 247, 281, 303, 355, 398, 435, 465, 470, 502, 520, 575]",4,"[349, 430, 518, 522]"
lib\Transforms\Utils\BasicBlockUtils.cpp,16,"[81, 98, 101, 308, 337, 376, 383, 445, 461, 633, 635, 670, 688, 706, 750, 963]",9,"[213, 342, 343, 626, 681, 722, 828, 873, 875]"
lib\Transforms\Utils\LoopUnrollAndJam.cpp,16,"[180, 189, 190, 191, 251, 252, 373, 374, 394, 399, 550, 574, 576, 577, 578, 649]",19,"[185, 202, 218, 233, 236, 242, 245, 302, 307, 636, 643, 652, 745, 755, 763, 771, 780, 808, 817]"
lib\Transforms\Utils\LoopUtils.cpp,16,"[60, 81, 311, 511, 526, 527, 530, 531, 580, 623, 644, 691, 806, 827, 849, 866]",3,"[91, 95, 650]"
utils\TableGen\CodeGenSchedule.h,16,"[77, 81, 82, 83, 84, 85, 361, 472, 482, 488, 506, 507, 512, 513, 537, 541]",0,[0]
utils\TableGen\RegisterInfoEmitter.cpp,16,"[107, 128, 139, 237, 456, 463, 589, 639, 652, 684, 948, 953, 1020, 1021, 1076, 1539]",0,[0]
include\llvm\ADT\SparseMultiSet.h,15,"[135, 145, 152, 168, 205, 236, 257, 268, 282, 283, 295, 336, 355, 467, 492]",0,[0]
include\llvm\Analysis\MemorySSA.h,15,"[535, 548, 559, 584, 591, 594, 612, 665, 1027, 1103, 1108, 1118, 1202, 1209, 1301]",0,[0]
include\llvm\CodeGen\GlobalISel\LegalizerInfo.h,15,"[339, 349, 366, 469, 471, 899, 968, 1035, 1059, 1241, 1273, 1274, 1277, 1286, 1287]",0,[0]
include\llvm\IR\DebugInfoMetadata.h,15,"[126, 611, 844, 853, 861, 868, 874, 909, 910, 1038, 1162, 2329, 2760, 3104, 3229]",0,[0]
include\llvm\MC\MCSymbol.h,15,"[183, 191, 269, 275, 303, 325, 331, 340, 350, 354, 357, 364, 375, 423, 429]",0,[0]
lib\Bitcode\Reader\MetadataLoader.cpp,15,"[153, 164, 185, 308, 369, 403, 406, 754, 760, 788, 804, 986, 1180, 1963, 2055]",0,[0]
lib\CodeGen\MachineVerifier.cpp,15,"[345, 475, 490, 501, 511, 1092, 1899, 1921, 2313, 2339, 2354, 2462, 2620, 2682, 2770]",0,[0]
lib\CodeGen\ScheduleDAGInstrs.cpp,15,"[160, 190, 423, 632, 678, 689, 776, 781, 782, 809, 823, 827, 1059, 1319, 1355]",12,"[890, 912, 995, 999, 1042, 1069, 1073, 1082, 1104, 1333, 1336, 1492]"
lib\IR\DebugInfoMetadata.cpp,15,"[30, 231, 247, 298, 423, 433, 484, 522, 659, 1052, 1083, 1105, 1106, 1157, 1166]",0,[0]
lib\MC\ELFObjectWriter.cpp,15,"[461, 674, 682, 703, 713, 778, 786, 789, 885, 1026, 1172, 1284, 1464, 1472, 1539]",0,[0]
lib\Object\COFFObjectFile.cpp,15,"[70, 106, 111, 127, 334, 452, 947, 1037, 1047, 1050, 1695, 1706, 1717, 1723, 1729]",0,[0]
lib\Support\FileCheck.cpp,15,"[607, 669, 674, 684, 949, 950, 1085, 1119, 1177, 1180, 1339, 1448, 1619, 1770, 1853]",0,[0]
lib\Support\raw_ostream.cpp,15,"[82, 105, 110, 119, 216, 261, 286, 340, 452, 522, 688, 744, 753, 787, 876]",0,[0]
lib\Target\AMDGPU\AMDGPUMachineCFGStructurizer.cpp,15,"[152, 215, 303, 308, 318, 323, 913, 1045, 1306, 1310, 1964, 2228, 2271, 2437, 2866]",132,"[661, 698, 703, 709, 721, 738, 742, 754, 779, 790, 850, 915, 925, 926, 928, 929, 953, 958, 1031, 1032, 1036, 1040, 1050, 1409, 1424, 1425, 1427, 1457, 1458, 1459, 1485, 1490, 1502, 1505, 1514, 1515, 1516, 1530, 1534, 1544, 1547, 1557, 1558, 1559, 1572, 1576, 1579, 1583, 1594, 1597, 1619, 1695, 1745, 1762, 1825, 1859, 1864, 1950, 1954, 1957, 1959, 1961, 2003, 2039, 2045, 2048, 2065, 2070, 2080, 2087, 2090, 2094, 2095, 2135, 2136, 2144, 2162, 2186, 2197, 2206, 2209, 2215, 2236, 2244, 2256, 2260, 2261, 2265, 2268, 2343, 2344, 2345, 2355, 2360, 2401, 2402, 2403, 2410, 2454, 2456, 2460, 2464, 2498, 2547, 2640, 2643, 2645, 2647, 2653, 2654, 2668, 2669, 2670, 2688, 2690, 2700, 2712, 2714, 2726, 2747, 2759, 2760, 2761, 2763, 2803, 2807, 2819, 2882, 2883, 2886, 2891, 2894]"
lib\Target\AMDGPU\SIMachineScheduler.cpp,15,"[429, 432, 501, 547, 572, 729, 930, 989, 1167, 1323, 1504, 1705, 1734, 2028, 2041]",15,"[1208, 1265, 1289, 1336, 1340, 1394, 1408, 1562, 1628, 1670, 1675, 1932, 1935, 2037, 2045]"
lib\Target\Hexagon\AsmParser\HexagonAsmParser.cpp,15,"[251, 256, 379, 384, 389, 412, 480, 481, 598, 617, 627, 670, 937, 1176, 1357]",9,"[465, 466, 467, 560, 561, 562, 1262, 1263, 1264]"
lib\Target\X86\X86TargetTransformInfo.cpp,15,"[61, 182, 928, 943, 1275, 1702, 2377, 2436, 2588, 2692, 2926, 2961, 3058, 3581, 3687]",0,[0]
lib\Target\XCore\XCoreISelLowering.cpp,15,"[359, 413, 541, 558, 694, 939, 940, 970, 971, 1074, 1165, 1319, 1472, 1527, 1792]",1,[1526]
utils\TableGen\DAGISelMatcherGen.cpp,15,"[44, 127, 203, 220, 308, 470, 565, 619, 638, 669, 843, 956, 975, 983, 1050]",0,[0]
include\llvm\IR\InlineAsm.h,14,"[270, 271, 290, 291, 303, 304, 305, 306, 313, 314, 315, 316, 321, 330]",0,[0]
include\llvm\IR\Statepoint.h,14,"[108, 128, 171, 176, 181, 204, 209, 227, 232, 274, 342, 350, 351, 353]",0,[0]
include\llvm\Support\LowLevelTypeImpl.h,14,"[43, 50, 58, 59, 66, 67, 100, 134, 141, 156, 157, 166, 236, 257]",0,[0]
lib\CodeGen\MachineOutliner.cpp,14,"[181, 279, 299, 300, 326, 361, 489, 683, 685, 715, 718, 721, 816, 818]",5,"[958, 971, 996, 1290, 1437]"
lib\CodeGen\ScheduleDAG.cpp,14,"[139, 141, 151, 161, 185, 190, 191, 199, 207, 433, 488, 516, 558, 674]",0,[0]
lib\CodeGen\StackMaps.cpp,14,"[50, 64, 82, 97, 114, 124, 151, 154, 257, 309, 331, 387, 551, 553]",9,"[421, 424, 427, 440, 442, 456, 458, 493, 570]"
lib\CodeGen\SelectionDAG\ScheduleDAGSDNodes.cpp,14,"[75, 187, 371, 388, 411, 476, 480, 487, 725, 795, 810, 814, 954, 982]",0,[0]
lib\ExecutionEngine\ExecutionEngine.cpp,14,"[79, 192, 214, 218, 224, 270, 458, 738, 748, 758, 765, 769, 773, 1264]",6,"[216, 345, 351, 1133, 1134, 1181]"
lib\MC\MCCodePadder.cpp,14,"[28, 34, 35, 41, 69, 77, 82, 178, 202, 216, 219, 245, 269, 367]",0,[0]
lib\ObjectYAML\ELFYAML.cpp,14,"[281, 438, 617, 668, 871, 1000, 1303, 1310, 1318, 1329, 1338, 1349, 1369, 1381]",0,[0]
lib\Target\AMDGPU\GCNMinRegStrategy.cpp,14,"[45, 50, 55, 56, 61, 62, 98, 115, 177, 191, 200, 225, 257, 271]",11,"[144, 149, 154, 160, 165, 172, 207, 214, 217, 248, 260]"
lib\Target\AMDGPU\SIMemoryLegalizer.cpp,14,"[518, 546, 577, 591, 605, 638, 669, 703, 903, 944, 1137, 1182, 1209, 1247]",6,"[447, 720, 764, 858, 960, 1014]"
lib\Target\ARC\ARCInstrInfo.cpp,14,"[205, 256, 285, 287, 308, 309, 311, 335, 336, 338, 352, 375, 378, 379]",2,"[313, 340]"
lib\Target\ARM\MCTargetDesc\ARMMCCodeEmitter.cpp,14,"[348, 861, 902, 1073, 1105, 1265, 1382, 1540, 1586, 1706, 1741, 1912, 1920, 1922]",0,[0]
lib\Target\Hexagon\HexagonGenInsert.cpp,14,"[138, 213, 257, 389, 448, 752, 851, 1021, 1062, 1150, 1171, 1269, 1335, 1507]",1,[1412]
lib\Target\Lanai\MCTargetDesc\LanaiMCCodeEmitter.cpp,14,"[118, 127, 150, 193, 194, 196, 201, 225, 227, 230, 264, 265, 267, 272]",0,[0]
lib\Target\RISCV\AsmParser\RISCVAsmParser.cpp,14,"[597, 602, 607, 612, 676, 689, 694, 699, 718, 729, 734, 745, 954, 1733]",0,[0]
lib\Target\X86\X86OptimizeLEAs.cpp,14,"[133, 134, 189, 213, 314, 316, 365, 397, 418, 493, 538, 582, 606, 659]",4,"[549, 561, 578, 654]"
lib\Transforms\InstCombine\InstCombineAddSub.cpp,14,"[65, 91, 96, 133, 304, 427, 434, 515, 583, 651, 1103, 1435, 1437, 1691]",1,[688]
lib\Transforms\ObjCARC\ObjCARCOpts.cpp,14,"[733, 1123, 1136, 1279, 1285, 1414, 1420, 1648, 1673, 1704, 1720, 1745, 1762, 1809]",46,"[438, 458, 643, 656, 664, 702, 715, 746, 761, 790, 808, 830, 868, 883, 894, 902, 918, 1020, 1028, 1202, 1225, 1267, 1290, 1302, 1324, 1337, 1363, 1403, 1425, 1431, 1443, 1446, 1574, 1585, 1602, 1612, 1617, 1824, 1838, 1883, 1891, 2153, 2162, 2200, 2261, 2311]"
lib\Transforms\Scalar\EarlyCSE.cpp,14,"[99, 242, 281, 290, 358, 375, 706, 814, 815, 816, 1159, 1182, 1218, 1281]",12,"[839, 904, 926, 930, 936, 974, 1000, 1027, 1088, 1131, 1187, 1222]"
lib\Transforms\Scalar\InductiveRangeCheckElimination.cpp,14,"[191, 673, 721, 745, 860, 935, 1002, 1008, 1137, 1156, 1390, 1603, 1610, 1852]",22,"[656, 657, 658, 659, 660, 662, 704, 705, 706, 707, 708, 710, 1399, 1434, 1441, 1461, 1468, 1787, 1793, 1816, 1825, 1876]"
lib\Transforms\Scalar\SpeculateAroundPHIs.cpp,14,"[171, 320, 379, 434, 471, 482, 531, 580, 582, 654, 673, 675, 690, 723]",16,"[66, 72, 85, 136, 239, 247, 298, 324, 503, 563, 576, 611, 735, 764, 784, 790]"
tools\dsymutil\DwarfLinker.cpp,14,"[125, 562, 687, 1067, 1124, 1126, 1153, 1396, 1413, 1414, 1422, 1440, 1514, 1523]",0,[0]
tools\llvm-exegesis\lib\Clustering.cpp,14,"[63, 78, 193, 199, 200, 202, 222, 224, 254, 280, 293, 308, 310, 347]",0,[0]
include\llvm\Analysis\BlockFrequencyInfoImpl.h,13,"[251, 450, 451, 537, 874, 1069, 1101, 1128, 1130, 1197, 1231, 1232, 1315]",14,"[1034, 1072, 1075, 1087, 1105, 1134, 1156, 1159, 1171, 1176, 1200, 1230, 1282, 1311]"
include\llvm\Analysis\ValueLattice.h,13,"[149, 154, 159, 185, 193, 195, 201, 209, 211, 213, 228, 267, 285]",0,[0]
lib\Analysis\CallGraphSCCPass.cpp,13,"[95, 166, 247, 270, 318, 343, 378, 516, 531, 548, 550, 574, 581]",6,"[185, 205, 330, 386, 493, 501]"
lib\Analysis\CFLGraph.h,13,"[86, 90, 113, 122, 128, 130, 145, 205, 220, 232, 377, 387, 394]",0,[0]
lib\Analysis\InstructionSimplify.cpp,13,"[233, 340, 413, 497, 537, 657, 2729, 3185, 3480, 3505, 4378, 5486, 5487]",0,[0]
lib\CodeGen\MachinePipeliner.cpp,13,"[279, 280, 294, 298, 354, 383, 551, 700, 1069, 1242, 2310, 2648, 2896]",57,"[250, 321, 330, 337, 433, 452, 457, 466, 480, 493, 509, 517, 524, 1016, 1047, 1061, 1065, 1075, 1366, 1428, 1614, 1668, 1814, 1820, 1824, 1829, 1835, 1846, 1869, 1892, 1914, 1941, 1947, 1950, 1963, 1973, 1990, 1996, 2032, 2043, 2286, 2317, 2330, 2736, 2740, 2742, 2748, 2857, 2918, 2934, 2944, 2959, 2969, 2974, 2984, 2996, 3007]"
lib\CodeGen\SelectionDAG\LegalizeTypesGeneric.cpp,13,"[86, 153, 199, 221, 247, 258, 315, 376, 416, 445, 457, 458, 469]",0,[0]
lib\Linker\IRMover.cpp,13,"[81, 82, 200, 254, 559, 983, 1057, 1157, 1439, 1506, 1511, 1515, 1519]",0,[0]
lib\Object\MachOObjectFile.cpp,13,"[109, 1669, 2116, 3055, 3423, 3425, 3986, 3988, 4155, 4163, 4249, 4254, 4440]",0,[0]
lib\Target\AArch64\MCTargetDesc\AArch64AsmBackend.cpp,13,"[74, 165, 386, 400, 401, 585, 586, 589, 592, 601, 610, 743, 756]",0,[0]
lib\Target\AMDGPU\AMDGPULegalizerInfo.cpp,13,"[105, 1134, 1218, 1251, 1313, 1342, 1388, 1435, 1496, 1526, 1710, 1755, 1985]",3,"[1640, 1653, 1810]"
lib\Target\ARM\ARMConstantIslandPass.cpp,13,"[305, 522, 525, 670, 848, 1327, 1374, 1388, 1430, 1438, 1579, 2174, 2368]",38,"[311, 319, 322, 324, 334, 351, 402, 416, 425, 431, 437, 473, 544, 547, 1067, 1139, 1155, 1242, 1287, 1331, 1339, 1376, 1472, 1485, 1548, 1639, 1683, 1711, 1750, 1806, 1844, 1918, 1971, 1973, 2151, 2288, 2296, 2302]"
lib\Target\ARM\Thumb1FrameLowering.cpp,13,"[137, 159, 483, 515, 554, 625, 626, 685, 716, 719, 741, 772, 996]",6,"[124, 473, 638, 665, 753, 945]"
lib\Target\Hexagon\HexagonLoopIdiomRecognition.cpp,13,"[342, 490, 1003, 1023, 1054, 1068, 1097, 1224, 1488, 1542, 1878, 2009, 2387]",9,"[1762, 1770, 1792, 1820, 1833, 1873, 1880, 2145, 2291]"
lib\Target\PowerPC\PPCRegisterInfo.cpp,13,"[199, 240, 343, 394, 518, 704, 827, 900, 1076, 1121, 1176, 1246, 1271]",10,"[507, 627, 651, 696, 740, 819, 869, 895, 999, 1228]"
lib\Target\PowerPC\PPCTargetTransformInfo.cpp,13,"[51, 62, 92, 126, 598, 601, 604, 723, 747, 760, 763, 836, 915]",0,[0]
lib\Target\PowerPC\MCTargetDesc\PPCInstPrinter.cpp,13,"[76, 80, 293, 310, 317, 324, 331, 345, 352, 359, 375, 382, 565]",0,[0]
lib\Target\PowerPC\MCTargetDesc\PPCMCCodeEmitter.cpp,13,"[110, 128, 146, 151, 168, 172, 183, 187, 198, 202, 240, 267, 277]",0,[0]
lib\Transforms\IPO\FunctionImport.cpp,13,"[404, 426, 443, 451, 465, 578, 718, 737, 886, 982, 1036, 1091, 1096]",31,"[151, 288, 293, 359, 363, 373, 410, 422, 456, 543, 551, 626, 650, 656, 663, 665, 676, 681, 683, 699, 759, 842, 911, 986, 1078, 1112, 1134, 1148, 1159, 1202, 1205]"
lib\Transforms\Scalar\LoopRerollPass.cpp,13,"[201, 210, 215, 220, 228, 236, 241, 313, 320, 595, 610, 968, 1410]",29,"[591, 597, 665, 804, 827, 843, 983, 988, 998, 1004, 1039, 1196, 1203, 1265, 1302, 1313, 1328, 1381, 1396, 1414, 1439, 1517, 1524, 1623, 1653, 1665, 1666, 1677, 1692]"
lib\Transforms\Scalar\LoopUnswitch.cpp,13,"[380, 513, 530, 544, 781, 937, 938, 1025, 1032, 1314, 1354, 1445, 1623]",7,"[308, 884, 893, 1002, 1236, 1418, 1589]"
lib\Transforms\Utils\CloneFunction.cpp,13,"[91, 95, 130, 455, 465, 539, 558, 592, 690, 769, 789, 791, 839]",0,[0]
tools\llvm-exegesis\lib\MCInstrDescView.cpp,13,"[21, 26, 31, 40, 71, 72, 77, 78, 83, 88, 93, 172, 190]",0,[0]
examples\ParallelJIT\ParallelJIT.cpp,12,"[66, 149, 152, 159, 162, 170, 174, 185, 190, 200, 214, 232]",0,[0]
include\llvm\ADT\ArrayRef.h,12,"[152, 158, 179, 188, 194, 240, 338, 344, 351, 362, 367, 417]",0,[0]
include\llvm\ADT\SmallBitVector.h,12,"[95, 107, 113, 118, 373, 385, 386, 416, 417, 452, 457, 668]",0,[0]
include\llvm\ADT\Twine.h,12,"[170, 178, 184, 257, 274, 283, 289, 296, 303, 361, 369, 440]",0,[0]
include\llvm\Analysis\LazyCallGraph.h,12,"[263, 265, 351, 923, 947, 953, 1204, 1205, 1219, 1224, 1229, 1234]",0,[0]
include\llvm\BinaryFormat\MsgPackDocument.h,12,"[79, 84, 89, 94, 99, 104, 109, 114, 119, 127, 138, 228]",0,[0]
include\llvm\CodeGen\MachineFunction.h,12,"[86, 390, 407, 439, 447, 587, 588, 715, 908, 914, 931, 984]",0,[0]
